job_id,job_title,company_name,skill,role_searched
341,Sr. Data Analyst,thinkbridge,power bi,Data Analyst
341,Sr. Data Analyst,thinkbridge,etl,Data Analyst
343,Mis & Data Analyst- Corporate Office,"CARE Hospitals, Quality CARE India Limited",sql,Data Analyst
343,Mis & Data Analyst- Corporate Office,"CARE Hospitals, Quality CARE India Limited",power bi,Data Analyst
343,Mis & Data Analyst- Corporate Office,"CARE Hospitals, Quality CARE India Limited",excel,Data Analyst
344,Data Analyst-138043,ObjectWin Technology India Pvt. Ltd,sql,Data Analyst
344,Data Analyst-138043,ObjectWin Technology India Pvt. Ltd,snowflake,Data Analyst
345,Data Analyst Ii (Data Analyst+ Financial Modeling),WS Atkins (India) Private Limited,sql,Data Analyst
345,Data Analyst Ii (Data Analyst+ Financial Modeling),WS Atkins (India) Private Limited,azure,Data Analyst
345,Data Analyst Ii (Data Analyst+ Financial Modeling),WS Atkins (India) Private Limited,power bi,Data Analyst
346,"Analyst 3, Data Analytics & Business Intelligence",Comcast,sql,Data Analyst
346,"Analyst 3, Data Analytics & Business Intelligence",Comcast,aws,Data Analyst
346,"Analyst 3, Data Analytics & Business Intelligence",Comcast,machine learning,Data Analyst
347,Mis Data Analyst - Revenue Cycle & Debtors Control,Desun Hospitals,excel,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,python,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,sql,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,pandas,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,numpy,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,matplotlib,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,seaborn,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,tableau,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,power bi,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,machine learning,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,deep learning,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,scikit-learn,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,git,Data Analyst
348,Data Analyst And Data Science Trainer,Milestone institute of Technology,excel,Data Analyst
350,Analyst [Lc-Ms Data Interpretation Chemist],TÜV SÜD,excel,Data Analyst
352,Business Analytics Senior Analyst,Early Career,python,Data Analyst
352,Business Analytics Senior Analyst,Early Career,sql,Data Analyst
352,Business Analytics Senior Analyst,Early Career,scala,Data Analyst
352,Business Analytics Senior Analyst,Early Career,tableau,Data Analyst
352,Business Analytics Senior Analyst,Early Career,machine learning,Data Analyst
352,Business Analytics Senior Analyst,Early Career,excel,Data Analyst
353,Data & Analytics Senior Cloud Engineer,C3 India Delivery Centre LLP,python,Data Analyst
353,Data & Analytics Senior Cloud Engineer,C3 India Delivery Centre LLP,sql,Data Analyst
353,Data & Analytics Senior Cloud Engineer,C3 India Delivery Centre LLP,java,Data Analyst
